客户编号,套餐品牌,信用等级,是否使用4GUSIM卡,是否4G资费,网龄,当月ARPU,当月MOU,当月DOU,终端使用时间（月）,当月省内漫游时长,当月省际漫游时长,营销是否成功
13288,2,5,1,1,221,160.94,2146,456608,2,49,197,0
14228,2,5,0,1,204,160.9,1146,262876,16,0,0,0
4478,2,5,1,1,164,160.87,628,1122792,6,0,0,0
8448,2,5,0,0,165,160.86,485,22369,6,134,347,0
2793,2,5,1,1,181,160.85,1627,20043,2,9,0,0
15641,2,5,0,0,205,160.84,1218,8,26,0,0,1
16140,2,5,1,0,183,160.78,2687,37481,13,0,0,0
9986,2,5,0,0,224,160.77,1090,116397,21,110,0,0
10152,2,5,0,0,208,160.77,1350,173173,19,0,0,0
763,2,5,0,1,212,160.76,1675,213069,4,37,27,1
4203,2,5,1,1,167,160.75,2058,612697,5,38,824,0
16198,2,5,1,1,185,160.75,1462,1245169,2,0,0,0
12475,2,5,0,0,159,160.72,536,14948,1,5,6,0
4335,2,5,1,1,165,160.71,1085,159914,1,44,30,0
15066,2,5,1,1,202,160.7,1725,165051,3,0,0,1
9352,2,5,1,0,205,160.68,992,295027,11,101,8,1
14182,2,5,0,0,200,160.68,1777,289969,3,0,0,1
16797,2,5,0,0,167,160.67,2352,115615,35,0,0,1
63,2,5,1,1,202,160.63,1485,361412,2,2,0,0
3532,2,5,1,1,172,160.61,241,317595,3,0,26,0
4942,2,5,1,1,162,160.61,2103,178597,31,0,0,1
16696,2,5,1,1,170,160.58,1202,395496,1,0,0,0
15740,2,5,1,1,195,160.56,995,698394,8,2,29,1
16616,2,5,0,0,174,160.56,521,74037,24,5,38,1
12830,2,5,0,0,186,160.54,1313,43712,24,37,0,0
13283,2,5,1,1,208,160.54,1145,75774,0,21,8,0
8862,2,5,1,1,183,160.53,591,1194993,10,0,0,0
14516,2,5,0,1,187,160.49,464,220858,1,0,73,0
139,2,5,1,1,204,160.43,1067,282649,17,15,143,1
12745,2,5,1,1,191,160.42,695,344164,4,0,0,0
3275,2,5,1,1,146,160.4,469,97809,13,0,0,1
12757,2,5,1,1,190,160.4,998,176387,13,54,0,0
2374,2,5,1,1,184,160.39,1971,290712,33,15,0,1
4656,2,5,1,1,163,160.39,1624,496352,32,0,0,1
2460,2,5,0,1,184,160.38,1076,95038,18,0,1076,0
8295,2,5,1,0,185,160.37,948,42811,5,0,0,0
10115,2,5,1,1,188,160.37,1993,182340,1,0,0,0
2401,2,5,1,1,185,160.36,1470,95123,32,18,0,1
17148,2,4,0,0,159,160.34,256,1687,29,0,0,0
2564,2,5,1,1,183,160.33,1030,13602,18,0,14,0
9623,2,5,0,0,190,160.26,1229,965,21,0,0,0
11762,2,5,0,0,220,160.24,830,30840,2,3,782,0
5028,2,5,1,1,160,160.23,1672,490731,1,269,0,0
12943,2,5,0,1,179,160.19,857,416342,13,66,0,1
15936,2,5,1,0,189,160.16,651,122504,19,0,0,1
12864,2,5,1,1,183,160.13,1417,347778,6,0,0,0
10686,2,5,1,1,199,160.11,1154,199829,29,0,0,1
5084,2,5,1,1,160,160.1,1279,707353,1,35,0,0
13367,2,5,0,0,201,160.1,1876,157665,15,83,0,1
12559,2,5,1,0,205,160.09,1203,93742,25,76,0,1
13807,2,5,0,0,146,160.09,735,41353,5,27,250,1
10577,2,5,1,1,179,160.08,1197,54257,10,0,0,0
13870,2,5,0,0,173,160.08,2069,125698,18,216,0,0
142,2,5,1,1,204,160.06,1445,278900,8,0,0,0
17196,2,5,0,0,186,160.05,335,65701,13,0,0,0
2548,2,5,1,1,183,160.04,900,634173,4,0,900,0
691,2,5,1,1,211,160.03,1700,25838,36,0,0,0
10607,2,5,0,0,176,160.03,431,35301,20,4,68,0
1400,2,5,1,1,194,159.99,1980,3877,2,2,0,0
14365,2,5,1,1,229,159.97,790,242056,3,0,0,1
1593,2,5,0,1,189,159.96,2354,380723,23,26,342,0
4641,2,5,1,1,163,159.95,1556,248305,13,27,0,1
13580,2,5,0,0,188,159.94,1030,567587,13,0,0,1
15524,2,5,1,0,198,159.94,884,20839,9,12,173,0
3407,2,5,1,1,174,159.9,1048,1339809,8,0,0,0
5039,2,5,1,1,160,159.9,1340,823688,8,0,0,0
13218,2,5,1,0,168,159.9,1365,71853,12,0,0,0
9621,2,5,0,0,194,159.89,1788,45958,21,22,0,0
9764,2,5,1,1,146,159.87,845,559722,18,0,0,1
607,2,5,1,1,207,159.84,2072,254099,1,229,0,1
1667,2,5,1,1,190,159.84,1256,212649,1,44,106,1
12675,2,5,0,0,196,159.84,1240,116357,31,2,19,1
9088,2,5,1,1,203,159.82,2013,794689,4,0,0,0
2463,2,5,1,1,184,159.8,1401,64273,13,9,11,0
3466,2,5,1,1,174,159.78,1309,460951,31,45,0,1
12645,2,5,1,1,197,159.77,725,588272,9,53,0,0
3141,2,5,1,1,177,159.75,1248,472242,13,0,0,1
4221,2,4,1,1,165,159.75,1231,168423,40,22,0,1
5611,1,5,0,0,191,159.75,1210,0,21,0,0,1
9366,2,5,1,1,165,159.71,1045,10526,30,0,0,0
15362,2,5,0,1,201,159.7,788,190301,14,0,0,1
16703,2,5,0,0,171,159.7,1439,39321,4,0,0,0
7052,2,5,1,0,187,159.69,322,317,1,0,0,0
3326,2,5,1,1,144,159.68,1953,299715,16,80,0,0
13951,2,5,1,0,220,159.68,585,85588,3,0,0,1
8735,2,5,0,0,196,159.67,1362,18035,11,0,0,0
10506,2,5,1,1,188,159.66,1149,171854,0,23,0,0
2486,2,5,1,1,185,159.65,1982,482397,23,4,117,0
