客户编号,套餐品牌,信用等级,是否使用4GUSIM卡,是否4G资费,网龄,当月ARPU,当月MOU,当月DOU,终端使用时间（月）,当月省内漫游时长,当月省际漫游时长,营销是否成功
10942,2,5,0,1,204,2201.08,2611,54557,22,42,1528,0
13382,2,5,0,0,201,2181.71,3371,35250,15,24,1120,0
4192,2,5,1,1,167,2055.6,6913,5884426,1,2708,0,1
10908,2,5,1,0,171,1827.33,2157,178070,4,260,15,1
14130,2,5,0,1,216,1736.4,4218,358592,35,28,0,1
52,2,5,1,1,224,1725.44,2898,352536,1,432,244,0
10102,2,5,1,0,190,1704.27,2961,107102,1,87,166,1
11249,2,5,1,0,193,1557.04,3944,54865,9,67,2943,0
1129,2,5,0,1,199,1537.14,2365,401955,11,94,17,1
2985,2,5,1,1,180,1521.1,2458,187045,23,0,100,0
11312,2,5,1,0,167,1440.28,3098,0,1,1247,443,1
11064,2,5,1,1,167,1438.18,1284,1159282,0,416,7,0
8020,2,5,0,0,169,1344.12,1058,466405,10,47,0,1
8853,2,5,0,0,190,1341.59,1120,98001,7,0,0,1
4766,2,5,1,1,163,1291.56,5642,350414,29,0,537,1
710,2,5,1,1,206,1193.58,1810,982078,4,302,46,0
11233,2,5,1,1,160,1182.89,9176,143004,9,403,3149,1
699,2,5,1,1,212,1151.57,1051,37,4,8,267,1
8043,2,5,1,0,196,1112.84,5374,1043102,3,8,4448,0
17261,2,5,1,1,197,1045.23,3136,292396,3,166,2379,1
2925,2,5,1,1,146,1025.43,1977,572168,0,26,195,0
13516,2,5,1,0,190,1008.39,2358,24102,40,276,110,0
9707,2,5,1,1,165,992.58,1316,667247,11,0,2,1
8636,2,5,0,0,188,991.96,6050,20500,5,143,2275,0
733,2,5,1,1,209,968.52,1824,374396,2,46,340,0
11308,2,5,1,1,165,949.67,8113,806137,13,697,5502,1
9287,2,5,1,1,197,943.64,1243,1896598,2,69,27,1
11099,2,5,1,1,221,933.47,5858,911830,0,3011,859,1
8655,2,5,0,0,185,928.44,1285,145101,21,18,45,1
8000,2,5,1,1,192,927.44,4574,966166,8,172,0,1
8757,2,5,0,0,186,905.61,939,6329,26,54,66,0
15897,2,5,0,0,189,905.25,241,0,2,9,14,1
8407,2,5,0,0,185,876.83,253,2654,2,14,18,1
10370,2,5,0,0,205,875.93,1288,115017,1,60,101,1
11113,2,5,0,0,200,875.3,2463,274785,2,110,323,0
13968,2,5,1,1,167,873.63,1487,364132,0,38,145,0
15644,2,5,1,0,191,864.57,7003,0,30,0,0,0
15038,2,5,0,1,230,852.09,1555,1292917,1,213,115,0
11217,2,5,0,0,199,851.8,1272,159396,6,377,215,1
4188,2,5,1,1,216,844.25,626,31632,2,9,39,0
8048,2,5,0,1,176,840.04,6456,151361,10,5139,0,0
11303,2,5,0,0,202,838.17,3902,224301,21,200,817,1
11310,2,5,1,1,160,829.21,1802,920363,7,46,0,0
12650,2,5,0,1,196,822.05,1426,538129,4,87,15,1
8042,2,5,0,0,197,819.79,107,0,34,0,0,0
9695,2,5,1,1,194,815.68,5097,1381693,7,0,61,0
1190,2,5,1,1,197,810.73,1115,2580422,8,44,33,1
6993,2,5,0,0,191,809.01,2533,80574,14,113,237,1
12621,2,5,1,1,200,803.66,1152,1168202,9,5,1,0
11144,2,5,1,1,194,802.13,3602,181994,4,295,51,1
11311,2,5,1,1,199,792.92,2550,203463,0,75,0,0
10606,2,5,1,1,176,791.65,1559,686328,2,26,65,0
4300,2,5,1,1,166,786.14,4010,103330,5,0,0,1
10339,2,5,1,1,203,774.21,2226,285819,2,19,136,0
10030,2,5,1,1,207,773.82,1116,667689,0,25,68,1
10305,2,5,1,1,198,773.78,3938,1981785,7,0,0,0
8690,2,5,0,0,189,765.83,2373,81574,24,48,0,0
15937,2,5,0,0,189,756.57,2160,59370,9,2,13,0
8620,2,5,0,1,195,754.38,3381,189645,21,105,0,0
16418,2,5,1,1,179,751.98,3705,25111,4,275,764,0
4451,2,5,1,1,164,747.12,2858,261870,1,70,0,0
11269,2,5,1,1,203,743.13,9931,242315,13,726,559,0
1288,2,5,1,1,199,740.02,2770,417508,6,183,7,0
9704,2,5,1,1,172,738.76,2579,331279,0,99,767,0
1313,2,5,1,1,213,737.95,1210,369649,16,3,11,0
2458,2,5,1,1,184,735.62,5205,114491,1,2165,1545,0
1795,2,5,1,1,190,732.49,2654,1025511,9,205,0,0
9678,2,5,0,0,146,731.72,2342,171088,2,56,0,0
10114,2,5,1,1,188,726.66,2434,1093849,2,49,474,0
9701,2,5,1,1,182,724.15,725,718224,2,0,0,0
4072,2,5,1,1,168,719.83,2835,347500,17,159,22,0
421,2,5,1,1,214,719.38,2103,927811,4,33,485,0
9284,2,5,0,1,211,718.82,1144,311410,12,14,0,0
11282,2,5,1,1,189,716.08,4828,404554,0,13,2850,0
4553,2,5,1,1,163,714.37,2171,469811,0,0,230,0
9698,2,5,1,1,212,712.5,3136,1181800,2,1436,69,0
9699,2,5,1,1,196,711.47,2407,0,15,118,0,0
4216,2,5,1,1,165,700.94,7613,559487,4,79,0,0
1093,2,5,1,1,205,699.01,11406,866765,7,500,5705,0
709,2,5,1,1,216,695.11,697,5381,8,1,26,0
4793,2,5,1,1,162,694.26,4614,278401,1,0,0,0
12546,2,5,0,0,216,694,1612,389138,20,0,547,1
8039,2,5,1,0,168,683.44,2128,140448,5,0,53,0
11012,2,5,1,1,187,682.55,7495,527616,19,200,361,0
10756,2,5,1,1,201,682.39,1834,1202229,4,34,9,0
9706,2,5,1,1,167,679.4,1664,939275,10,34,48,0
11309,2,5,0,1,161,676.39,4107,217268,12,91,3664,1
9683,2,5,1,1,204,671.69,1159,1065099,8,61,612,1
3436,2,5,1,1,175,671.06,2621,5663,1,122,59,1
8027,2,5,1,0,206,667.24,3147,0,15,0,0,0
3451,2,5,0,1,174,666.59,4988,264269,19,233,709,0
12723,2,5,0,1,193,661.3,1112,164001,6,1041,0,0
11018,2,5,0,0,187,659.01,2864,645071,9,0,0,1
11245,2,5,0,1,199,655.15,1963,299969,7,119,559,1
7912,2,5,0,0,166,655.14,4854,283494,17,301,2991,1
11290,2,5,0,0,178,652.34,5086,359652,18,519,61,1
10398,2,5,1,0,202,651.97,3508,624912,10,421,85,0
7830,2,5,0,1,160,651.69,3709,282017,13,59,0,1
9776,2,5,1,0,170,650.78,3504,106052,16,55,0,1
9705,2,5,1,1,169,649.88,1167,325177,4,40,122,0
9702,2,5,0,0,174,643.77,1465,0,0,1072,0,1
9700,2,5,0,1,191,640.61,2203,553295,3,185,1828,0
14318,2,5,1,0,210,640.02,5064,0,3,39,71,1
15382,2,5,0,0,201,638.65,1399,0,6,1118,18,1
9703,2,5,1,1,173,636.45,707,93221,13,105,0,1
14902,2,5,0,1,165,635.92,2220,1518013,23,277,0,1
3689,2,5,1,1,174,634.27,476,1224680,1,0,0,0
9697,2,5,0,0,223,633.71,181,0,19,53,0,0
814,2,5,1,1,199,633.5,1383,327210,2,105,0,0
9692,2,5,1,1,197,633.16,1175,701089,8,105,317,0
17579,3,5,0,1,183,631.85,2256,242686,5,17,0,1
8722,2,5,1,0,214,628.65,3692,69326,0,859,365,0
417,2,5,1,1,213,624.65,2012,824315,10,166,55,0
11190,2,5,1,1,176,624.33,2427,482452,5,65,129,0
11003,2,5,0,0,189,623.05,2576,2948,20,105,684,0
355,2,5,1,1,207,615.97,5509,552113,19,416,0,0
8024,2,5,1,1,169,615.95,2496,592753,10,121,746,0
15498,2,5,1,1,197,613.89,1543,507623,0,30,77,0
16973,2,5,0,0,163,613.6,1987,174002,15,0,824,1
15048,2,5,1,1,210,593.36,1507,1233238,4,532,205,0
10605,2,5,1,1,176,593.28,2742,477040,0,67,113,0
10980,2,5,1,1,196,591.86,3579,1626909,4,0,0,0
4027,2,5,0,1,203,587.03,2439,359326,15,48,1248,0
17210,2,5,0,0,214,586.46,1918,26851,27,61,253,0
949,2,5,1,1,200,585.77,1936,803493,1,12,84,0
17259,2,5,0,1,200,585.58,2008,525408,14,91,55,1
15115,2,5,0,1,203,584.2,1686,135915,32,29,0,1
13361,2,5,1,1,199,582.84,1614,462685,12,36,832,0
10940,2,5,0,1,218,582.16,4535,291054,11,536,0,1
9989,2,5,1,0,217,581.31,1559,201909,35,2,36,1
76,2,5,1,1,203,579.66,1329,44082,11,82,19,0
15183,2,5,1,1,216,578.27,1033,2430014,5,0,61,0
4588,2,5,1,1,164,575.4,4653,1188019,2,3236,0,0
15310,2,5,0,0,212,569.95,551,212992,14,8,121,1
2331,2,5,1,1,187,569.91,2758,468132,10,58,274,1
2589,2,5,1,1,183,569.06,3333,563086,3,103,433,0
1272,2,5,1,1,196,564.15,2012,7685304,2,23,0,0
18873,3,5,1,1,179,561.85,4388,950773,4,92,309,0
982,2,5,1,1,200,561.52,3036,543824,7,62,860,0
1937,2,5,1,1,189,560.73,672,1940771,8,2,7,0
8028,2,5,0,0,225,557.89,1696,13794,14,73,1317,0
9930,2,5,1,1,186,554.14,353,3882013,15,0,0,1
9681,2,5,1,1,207,552.6,633,0,1,32,58,0
4469,2,5,0,1,164,551.22,3741,295051,20,1093,1441,1
8985,2,5,1,0,162,547.76,724,456,6,0,14,0
9662,2,5,0,1,200,547.24,2735,597708,16,140,156,1
7850,2,5,1,1,216,546.06,1707,860811,11,810,208,0
11307,2,5,1,1,185,544.18,5177,418341,1,986,0,0
10823,2,5,0,1,220,543.66,1911,458884,13,21,0,1
17230,2,5,1,1,186,543.16,3161,252549,4,21,218,0
9392,2,5,1,1,210,540.52,2625,157852,3,56,58,0
11300,2,5,1,0,174,540.48,7053,246,10,143,547,1
19,2,5,1,1,205,537.85,5050,25501,19,0,0,0
2115,2,5,1,1,186,537.68,3800,38635,7,0,0,0
2730,2,5,1,1,180,537.46,2756,3978149,6,148,0,0
8019,2,5,1,1,191,537.29,2090,123854,2,6,29,0
11302,2,5,0,0,202,537.2,2320,81098,14,19,48,1
307,2,5,1,1,203,536.26,996,431084,0,57,0,0
17225,2,5,1,1,189,531.91,1045,196621,34,36,7,1
1817,2,5,1,1,191,531.78,6796,62,39,0,0,1
8012,2,5,1,0,170,530.5,2686,510899,2,90,89,0
3165,2,5,1,1,146,528.82,4060,281487,0,0,0,0
2450,2,5,1,1,185,528.56,2514,685236,7,36,2187,0
16194,2,5,0,0,184,528.53,4801,5668,22,0,0,0
10221,2,5,1,0,174,526.77,1420,125720,0,341,0,0
10314,2,5,0,0,180,526.15,1590,83112,33,66,27,1
6666,2,5,1,1,215,525.27,958,432976,25,958,0,1
19385,3,4,1,1,181,524.74,1787,353,1,109,106,0
396,2,5,0,1,206,523.86,1998,462067,36,10,41,1
14604,2,5,0,0,185,521.78,471,76416,28,22,0,0
15320,2,5,0,0,213,521.71,2149,98946,16,23,595,1
501,2,5,1,1,204,520.1,2109,1555312,4,0,0,0
4050,2,5,1,1,167,515.03,1710,250836,1,422,31,0
12794,2,5,1,1,189,513.32,7018,241410,10,0,0,0
182,2,5,1,1,211,513.18,3598,410821,2,0,0,1
5021,2,5,1,1,160,511.48,3236,439603,2,344,220,0
19263,3,5,0,0,207,511.19,1200,2,19,14,822,0
9633,2,5,1,1,179,510.99,1360,417340,9,455,0,0
9691,2,5,0,0,197,509.26,1206,152976,21,10,150,0
14307,2,5,0,1,202,508.73,2410,541658,18,102,125,1
9694,2,5,1,0,197,507.22,1633,345822,16,0,0,1
331,2,5,1,1,206,505.86,782,723372,2,538,1,0
104,2,5,1,1,205,504.45,4198,210881,1,54,160,0
12970,2,5,1,1,176,501.17,1435,521369,7,0,0,0
4610,2,5,1,1,163,500.05,4318,1101430,1,70,817,0
14185,2,5,0,0,197,499.82,184,292589,0,6,0,0
8264,2,5,1,1,189,499.52,1312,3850919,6,15,0,0
8246,2,5,0,0,190,497.95,114,1274,13,0,0,0
16553,2,5,1,1,146,497.32,3265,235126,1,4,179,0
3573,2,5,1,1,172,496.94,3637,512904,2,172,0,0
1437,2,5,1,1,195,496.5,5436,445409,4,388,0,0
11275,2,5,0,0,199,495.02,3940,120825,3,70,3201,1
2369,2,5,1,1,184,494.26,3599,430860,18,160,0,0
3414,2,5,1,1,175,493.95,5232,91642,5,4,246,0
666,2,5,1,1,215,493.03,2084,16673,4,225,0,0
8040,2,5,0,0,216,492.7,1490,232856,34,158,792,1
15025,2,5,1,1,216,492.5,1841,347026,1,63,0,0
14674,2,5,0,1,181,492.15,1866,269646,35,449,0,1
10693,2,5,0,0,165,491.4,6872,7,14,0,0,1
236,2,5,1,1,213,491.38,4883,1009929,9,141,106,0
9327,2,5,0,0,189,487.73,2077,0,0,41,1177,1
1348,2,5,1,1,192,487.62,2727,160776,16,0,0,1
10312,2,5,1,0,186,487.02,1639,80273,7,54,70,0
11194,2,5,1,1,176,485.92,1670,1034571,12,79,348,0
16812,2,5,1,0,205,485.35,3297,192046,8,29,418,1
8025,2,5,1,0,166,484.39,1521,183793,15,179,79,1
10681,2,5,1,0,166,482.22,2584,619168,1,0,0,0
9605,2,5,0,0,204,481.74,2123,33742,15,1202,0,0
2258,2,5,1,1,186,481.65,1440,574477,8,0,95,0
1964,2,5,1,1,188,481.13,3407,892917,7,0,3407,0
105,2,5,1,1,206,481.01,2970,255402,8,586,121,0
16517,2,5,0,1,175,480.88,2135,682667,10,844,0,1
15858,2,5,1,0,190,480.42,3993,0,10,2,19,0
1480,2,5,1,1,193,478.22,1708,1325699,11,28,32,0
14110,2,5,1,1,189,476.63,1967,411472,5,41,120,0
12929,2,5,1,0,180,474.36,1127,120218,16,125,27,1
2320,2,5,1,1,185,472.37,1167,393357,0,93,111,0
487,2,5,1,1,212,472.33,2255,225316,1,0,0,0
17258,2,5,1,1,160,472.33,1525,2967599,6,29,289,0
3766,2,5,1,1,178,472.09,4289,251686,5,19,6,0
11228,2,5,1,0,161,471.51,5339,38351,3,670,3613,0
12772,2,5,1,1,190,471.5,1206,2166584,5,0,0,0
9685,2,5,1,1,197,470.25,1669,1100206,6,25,214,0
7892,2,5,1,1,181,470.05,2633,828920,4,547,575,0
13947,2,5,1,1,167,469.19,2277,1223896,8,58,280,0
4248,2,5,1,1,166,467.06,1401,476894,16,0,0,1
8046,2,5,1,1,159,466.87,879,383358,9,26,0,0
11235,2,5,0,0,216,466.37,1325,0,33,42,73,0
8592,2,5,0,1,202,465.82,1848,602075,13,24,942,1
16673,2,5,0,0,105,465.73,3376,207734,21,0,0,0
664,2,5,1,1,241,465.52,4735,516256,11,88,5,1
14192,2,5,1,1,186,465.17,2320,1004311,9,2022,29,0
9987,2,5,0,0,225,462.9,5106,84601,24,0,0,1
13076,2,5,0,0,167,462.08,5243,26336,18,2680,0,0
17226,2,5,0,0,188,461.91,2466,156205,11,56,135,1
11241,2,5,0,0,213,461.22,1469,139989,2,0,1247,0
3899,2,5,0,1,168,460.82,1451,850558,33,16,0,1
11306,2,5,1,0,185,460.67,2742,1288981,10,559,471,0
3110,2,5,1,1,178,459.57,1926,371812,0,16,84,0
11247,2,5,0,0,194,459.51,1345,3685,6,54,700,0
8558,2,5,1,1,201,458.63,2187,96122,0,1912,48,0
11077,2,5,1,1,161,458.48,4532,374595,13,0,0,0
10154,2,5,0,1,185,457.83,808,601678,31,1,11,1
8707,2,5,0,1,164,457.22,1844,680296,22,605,181,1
13967,2,5,1,1,166,457.11,1390,370628,4,0,131,0
12549,2,5,0,1,205,456.34,2082,372705,30,1585,87,1
10703,2,5,1,1,164,455.75,891,619763,22,0,891,1
708,2,5,1,1,217,455.18,2913,87338,8,23,303,0
11299,2,5,0,0,186,454.89,3175,166361,12,62,101,0
2283,2,5,1,1,186,454.55,1543,378200,1,111,63,0
15895,2,5,1,1,187,453.45,1781,920278,7,161,183,0
9688,2,5,1,0,182,453.28,909,199592,4,799,99,1
11295,2,5,0,0,208,452.75,3325,131232,18,588,133,1
15653,2,5,1,1,193,452.69,2176,161744,1,1,0,0
14202,2,5,0,0,170,451.9,3745,236056,1,1028,1985,0
10628,2,5,1,0,174,451.6,4164,84802,20,0,0,1
3873,2,4,1,1,167,451.41,4305,432234,5,32,0,0
9772,2,5,1,1,173,451.06,2104,252748,1,30,145,0
933,2,5,1,1,227,450.94,3972,561767,9,0,0,0
11248,2,5,0,0,192,450.22,5257,32846,18,1063,128,0
13090,2,5,1,1,146,449.67,2216,5414635,1,55,524,0
17314,3,5,0,0,203,449.11,1201,47627,13,53,4,0
14311,2,5,1,0,210,448.83,1106,0,7,3,66,0
8038,2,5,1,0,176,448.13,674,48033,6,122,92,0
11246,2,5,1,1,194,447.94,2710,170905,6,33,114,0
17131,2,5,0,0,160,447.71,2713,3130,26,117,0,0
12556,2,5,0,0,210,447.69,4452,3024,35,1,0,0
10867,2,5,0,1,191,447.25,2443,423294,16,159,0,0
10083,2,5,0,0,194,447.07,2620,162690,28,715,0,1
15564,2,5,1,1,197,447.03,2015,333425,6,7,147,0
3334,2,5,1,1,176,446.54,4481,195121,2,458,3872,0
4126,2,5,1,1,166,446.1,1586,355642,2,183,24,0
3159,2,5,1,1,178,445.48,2641,1059759,6,54,0,0
11265,2,5,0,0,208,444.95,5760,129680,13,0,0,1
4100,2,5,1,1,193,444.78,1201,321584,1,3,0,0
14136,2,5,1,1,183,444.74,2871,1518719,8,209,0,0
14573,2,5,1,1,186,444.67,2430,129326,1,146,0,0
8047,2,5,0,0,196,444.58,2674,54940,33,56,223,0
15582,2,5,0,0,198,444.3,2476,92961,13,134,84,1
14522,2,5,0,1,187,443.76,873,430787,7,873,0,1
4140,2,5,1,1,197,443.73,3834,1360352,9,81,99,0
8044,2,5,0,0,190,443.71,2396,3089,4,1603,575,1
12939,2,5,0,1,179,443.49,2976,177417,13,20,54,1
8612,2,5,1,1,199,443.46,1427,255442,2,62,5,0
11105,2,5,1,1,214,443.34,3735,407514,22,104,210,0
10382,2,5,0,0,211,443.3,3421,132116,16,121,204,1
16913,2,5,1,0,165,442.95,1654,153596,3,905,0,1
2301,2,5,0,1,201,442.87,2062,310306,1,42,0,0
4464,2,5,1,1,164,442.61,3096,766219,3,458,0,0
10032,2,5,0,0,201,442.44,852,353448,1,240,4,1
16065,2,5,1,1,212,441.7,1932,1102457,6,0,30,0
10586,2,5,1,0,179,441.44,2460,12117,35,0,0,0
350,2,5,1,1,224,440.96,2615,308302,8,140,61,0
8036,2,5,0,0,212,440.37,657,150439,37,39,243,1
11187,2,5,1,0,177,439.67,5858,128638,12,0,0,1
9696,2,5,0,1,185,439.65,1471,188450,14,204,0,1
2920,2,5,1,1,178,439.21,3801,55074,14,0,3801,0
616,2,5,1,1,205,439.03,3204,246453,2,732,999,0
987,2,5,1,1,200,438.96,2306,1384417,9,27,176,0
10441,2,5,1,1,197,438.96,3051,405832,9,0,0,0
10362,2,5,0,1,216,438.46,4019,625917,23,187,0,1
6593,2,5,1,0,212,438.37,2750,80384,2,171,671,1
15080,2,5,1,1,208,437.99,1779,604895,4,542,0,0
13188,2,5,1,1,228,437.93,3573,1668611,7,0,0,0
16529,2,5,1,0,176,437.77,1566,239680,14,50,72,0
15555,2,5,0,0,197,437.3,1753,143366,18,2,544,0
4246,2,5,1,1,166,437.09,2134,204301,8,25,0,1
3059,2,5,1,1,177,437.07,3477,1051421,6,10,83,0
16461,2,5,0,1,178,436.67,2789,157395,33,96,0,1
15973,2,5,0,1,187,436.04,951,572300,0,7,9,0
231,2,5,1,1,213,435.26,2028,4666308,9,34,0,0
11296,2,5,0,0,196,435.05,3184,106122,31,90,0,1
8762,2,5,1,0,181,434.98,3584,116437,14,0,0,1
10375,2,5,1,0,201,434.7,813,61708,1,35,16,0
3815,2,5,1,1,169,434.57,3140,385351,10,11,261,0
8638,2,5,0,0,188,434.16,2774,17,24,2,0,0
7983,2,5,1,1,199,433.98,2600,141590,1,74,208,0
9821,2,5,1,1,182,433.92,2652,121866,6,196,0,0
17235,2,5,1,1,175,433.73,2115,814315,13,40,0,1
13901,2,5,1,1,177,433.5,2944,162635,21,39,0,1
14203,2,5,0,0,180,433.45,3067,121994,8,12,60,1
10833,2,5,1,1,209,433.04,1164,257359,4,0,0,0
9337,2,5,1,1,160,432.87,3032,331532,5,293,63,0
2388,2,5,1,1,184,432.44,2123,777083,1,56,6,0
17229,2,5,0,0,186,431.44,2648,0,31,0,0,0
11250,2,5,1,0,190,431.42,3730,9220,5,322,44,0
16853,2,5,0,1,200,430.4,1055,65530,19,777,0,0
11196,2,5,0,0,173,429.84,4355,186716,36,21,0,1
1936,2,5,1,1,189,429.5,3517,53420,14,16,61,0
10725,2,5,1,0,146,429.39,2536,67414,7,0,0,0
15628,2,5,0,0,192,428.89,873,169065,27,7,266,1
2353,2,5,1,1,183,428.44,1407,1025243,3,134,219,0
8017,2,5,0,0,205,428.01,3234,180263,33,512,346,1
11238,2,5,1,1,205,427.77,2003,870903,1,96,162,0
513,2,5,1,1,206,426.74,2771,111017,10,106,0,0
10548,2,5,0,1,183,426.28,3060,487479,23,133,0,1
11035,2,5,1,1,179,426.04,3440,473676,8,98,295,0
3076,2,5,1,1,178,425.92,3931,892714,4,0,0,0
11006,2,5,0,0,189,425.41,3885,0,42,336,0,1
8041,2,5,0,0,199,424.67,2694,19939,27,0,0,0
11240,2,5,0,0,214,424.62,1358,1,38,7,0,1
10752,2,5,0,0,200,424.5,2157,298279,23,79,138,0
1729,2,5,1,1,190,424.27,4015,837169,8,132,0,1
16701,2,5,1,0,181,424.07,875,693327,8,0,13,1
2969,2,5,1,1,179,423.48,3054,103104,3,76,0,0
13981,2,5,0,0,165,423.39,2525,192649,16,235,472,0
14965,2,5,0,0,163,423.19,899,374522,8,22,0,0
4211,2,5,1,1,166,423.12,2623,972402,8,7,21,0
103,2,5,1,1,202,422.81,1042,1153298,9,239,8,0
1331,2,5,1,1,191,422.43,3705,521604,4,170,31,0
15055,2,5,1,0,203,422.28,5061,195990,25,0,0,1
11305,2,5,0,0,198,422,2635,193919,3,130,1074,1
1897,2,5,1,1,189,421.89,3142,1008289,0,83,324,0
11251,2,5,1,1,191,421.68,3315,448334,3,57,64,0
14778,2,5,0,0,173,421.63,915,78420,28,0,0,1
8670,2,5,1,1,180,421.43,2839,474055,10,45,155,0
16977,2,5,0,0,164,420.07,2412,264863,13,0,0,1
1499,2,5,1,1,192,420.05,3544,1191345,1,661,0,0
10496,2,5,1,1,189,419.96,2375,218306,6,1,137,1
16142,2,5,1,1,183,419.33,2834,304318,13,0,138,1
11150,2,5,1,1,189,419.16,2573,1122522,1,34,36,0
9689,2,5,1,0,162,418.81,4549,147541,12,0,0,1
492,2,5,1,1,213,418.57,5270,378856,4,60,0,0
11255,2,5,0,0,184,418.46,3401,176178,45,20,0,1
16128,2,5,1,1,184,418.24,1599,633910,13,22,395,0
10866,2,5,1,1,190,418.12,1726,407288,33,50,22,1
8037,2,5,1,0,192,417.1,364,162034,27,2,362,1
11212,2,5,0,0,168,417.07,3139,145286,1,534,1792,0
2735,2,5,1,1,181,417.03,5876,388606,5,0,0,1
7811,2,5,1,1,197,416.74,1387,1226186,1,187,138,0
10632,2,5,1,0,173,416.6,1644,208821,14,22,52,1
14775,2,5,1,0,174,416.27,2213,140189,20,0,0,1
13465,2,5,1,1,194,416.26,886,580799,18,61,426,1
13937,2,5,1,1,85,416.03,2929,406714,10,2086,236,0
2043,2,5,1,1,189,415.85,3054,399115,14,159,251,1
2274,2,5,0,1,185,415.02,2927,245369,24,49,1878,0
1420,2,5,1,1,195,414.97,2279,390060,2,20,625,0
3057,2,5,1,1,179,414.71,960,817434,8,4,0,0
16664,2,5,0,0,172,414.7,967,7345,1,101,34,0
15004,2,5,0,1,202,414.09,2725,353040,10,24,101,0
16438,2,5,0,0,178,413.73,2847,82798,35,0,0,1
15340,2,5,0,0,212,413.69,1160,518823,36,3,35,1
1961,2,5,1,1,189,413.56,1778,210932,11,19,87,1
11661,2,5,0,0,164,413.56,2063,168873,26,0,0,1
1584,2,5,0,1,64,413.48,4215,276813,3,148,0,1
876,2,5,1,1,246,412.98,2242,549437,1,37,1928,0
7816,2,5,0,0,186,412.62,1063,119461,31,0,1061,1
1329,2,5,1,1,78,412.4,3959,883005,10,112,46,0
11257,2,5,1,1,179,412.27,2868,629296,9,155,0,0
10920,2,5,1,1,163,412.21,2470,283360,10,334,79,0
4398,2,5,1,1,165,411.33,3465,152759,10,43,0,0
11129,2,5,1,0,197,411.2,3840,3319,15,60,0,0
4133,2,5,0,1,146,410.97,1338,33713,53,88,80,0
10988,2,5,1,1,195,410.76,3292,116213,8,0,0,0
17245,2,5,1,1,204,410.56,1753,194926,6,0,0,0
1927,2,5,1,1,189,410.53,3337,312121,12,75,2373,1
9693,2,5,0,0,197,410.38,0,34253,4,0,0,0
1640,2,5,1,1,190,410.08,4276,684462,5,10,2907,0
3298,2,5,1,1,176,409.6,1351,640602,5,149,435,0
8045,2,5,1,0,182,409.31,2021,0,8,82,0,0
11301,2,5,0,0,171,409,3149,5644,30,1038,2019,1
3710,2,5,1,1,119,408.62,2804,376254,2,0,2804,0
17185,2,5,1,0,196,408.12,2475,207509,2,90,34,0
11304,2,5,0,0,196,407.55,4472,0,15,0,0,0
2527,2,5,1,1,184,407.53,3124,773970,2,0,0,0
15452,2,5,0,0,200,407.34,1339,0,4,1339,0,1
1055,2,5,1,1,197,407.21,3336,1086514,2,0,0,0
8282,2,5,0,0,187,406.93,3043,2296,10,67,524,0
391,2,5,1,1,208,404.99,3073,163816,4,30,0,1
1761,2,5,1,1,190,404.82,3931,232429,2,111,0,0
12829,2,5,0,0,185,403.79,2940,238822,20,8,1075,1
16225,2,5,1,1,182,403.67,1741,438183,12,2,0,1
2207,2,5,1,1,186,403.26,1795,2070281,1,55,852,0
4199,2,5,1,1,205,403.17,3666,552382,9,208,108,0
3420,2,5,1,1,108,403.12,1607,5171527,10,36,204,0
4367,2,5,1,1,165,403.06,4786,476739,10,795,340,0
12572,2,5,0,1,205,403.02,1883,80106,34,19,2,1
14092,2,5,0,1,159,402.9,2750,429765,24,0,0,1
16850,2,5,1,1,167,402.7,2020,227884,4,253,59,1
11209,2,5,1,1,168,402.65,3190,833117,1,290,0,0
11227,2,5,1,1,161,402.25,2891,591632,3,336,2127,1
15503,2,5,0,1,196,401.99,1212,123116,1,25,0,0
11284,2,5,1,1,187,401.03,2591,933464,4,439,0,0
8789,2,5,1,1,199,400.71,3363,70446,13,37,1263,0
11081,2,5,1,1,159,400.57,3272,753345,9,145,598,0
10252,2,5,0,0,169,399.69,1027,248098,29,2,5,1
3935,2,5,1,1,166,399.65,3439,410682,0,14,0,1
16426,2,5,1,1,179,399.41,2995,648944,0,0,0,0
2069,2,5,1,1,188,399.38,3279,568282,1,0,3279,0
10915,2,5,1,1,168,398.97,3993,296348,4,104,0,1
17064,2,5,1,1,162,398.9,1793,280122,32,109,171,1
4312,2,5,1,1,165,398.81,4251,712549,7,80,317,0
14232,2,5,0,0,213,398.55,1100,349330,29,594,27,1
8023,2,5,1,0,185,398.31,1585,357688,13,176,0,1
8731,2,5,1,1,230,398.17,1443,221722,2,24,0,0
10248,2,5,1,0,204,398.17,4154,89051,34,29,306,1
11297,2,5,0,0,189,398.04,2100,24707,7,39,0,0
7829,2,5,1,1,188,398,1269,105935,10,0,0,0
11234,2,5,0,0,159,397.88,1613,621335,16,0,1613,1
1806,2,5,1,1,191,397.77,4829,321480,21,0,0,1
3166,2,5,1,1,177,397.6,872,6287915,9,330,519,0
14354,2,5,1,1,199,396.43,865,291123,23,1,130,0
2245,2,5,1,1,212,396.39,1410,173337,8,203,29,0
2868,2,5,1,1,181,396,2813,15606,3,276,42,0
653,2,5,1,1,214,395.98,3901,250552,1,70,418,0
10647,2,5,1,1,146,395.96,2466,281968,7,277,0,0
8032,2,5,1,1,183,395.77,2081,1216602,0,0,0,0
